Lisa Willis,378.0,328
Shannon Bobbitt,377.6,329
Teresa Edwards,374.0,330
Kate Starbird,369.6,331
Chante Black,368.6,332
Danielle McCray,368.0,333
Jessica Shepard,364.8,334
Tammi Reiss,360.0,335
Ruthy Hebard,357.2,336
Ayana Walker,356.4,337
Erica McCall,353.8,338
Crystal Smith,351.0,339
Toni Foster,351.0,339
AD Durr,348.3,341
Natasha Lacy,347.6,342
Coretta Brown,346.5,343
Samantha Prahalis,344.4,344
Umeki Webb,340.8,345
Laura Harper,335.0,346
Cintia dos Santos,333.2,347
Chandi Jones,333.2,347
Tora Suber,332.0,349
Andrea Nagy,326.4,350
Jamie Carey,325.5,351
Han Xu,325.0,352
Andrea Riley,321.2,353
Sheila Lambert,319.2,354
Maggie Lucas,316.8,355
Shakira Austin,313.2,356
Vicki Baugh,312.0,357
DiJonai Carrington,312.0,357
Markeisha Gatling,307.8,359
Sonja Petrovic,305.0,360
Val Whiting-Raymond,302.4,361
Amber Harris,302.4,361
Nikki Blue,299.7,363
Quacy Barnes,294.0,364
Andrea Lloyd-Curry,289.8,365
Nicky McCrimmon,287.5,366
Rachael Sporn,284.0,367
Amy Herrig,280.5,368
Rashanda McCants,273.6,369
Sasha Goodlett,272.7,370
Jazmon Gwathmey,270.0,371
Alexis Jones,267.3,372
Tausha Mills,267.3,372
Felicia Ragland,266.4,374
LaToya Bond,264.0,375
Shalee Lehning,263.5,376
Julie Allemand,263.2,377
Grace Daley,262.7,378
Tonya Massaline,254.8,379
Crystal Bradford,253.5,380
Megan Gustafson,252.8,381
Olayinka Sanni,250.8,382
Kylee Shook,250.0,383
Alaina Coates,249.0,384
Suzy Batkovic-Brown,245.0,385
Kaila Charles,244.4,386
Angel Goodrich,237.8,387
Queen Egbo,237.6,388
Dana Evans,235.6,389
Kelly Faris,235.2,390
Summer Erb,234.0,391
Megan Walker,230.1,392
Briana Gilbreath-Butler,226.8,393
Maylana Martin,225.7,394
Georgia Schweitzer,224.0,395
Tamara James,223.6,396
Dalma Ivanyi,222.6,397
Aiysha Smith,222.0,398
Kendra Wecker,214.6,399
Jae Kingi-Cross,214.5,400
Temi Fagbenle,213.9,401
Maria Vadeeva,208.0,402
Angie Braziel,202.8,403
Shaunzinski Gortman,200.2,404
Brianna Kiesel,199.5,405
Monica Lamb,197.8,406
Polina Tzekova,195.2,407
Cathy Joens,193.5,408
Carolyn Young,193.2,409
Katy Steding,192.5,410
Alanna Smith,192.0,411
Kristine Anigwe,192.0,411
Kristy Wallace,191.4,413
Destanni Henderson,190.8,414
Sandora Irvin,188.7,415
Alexis Gray-Lawson,188.6,416
Sydney Carter,188.5,417
Tye'sha Fluker,187.2,418
Kristen Veal,187.2,418
Marla Brumfield,184.8,420
Jamila Wideman,184.8,420
Jessica Adair,183.6,422
Megan Frazee,183.3,423
Emily Engstler,182.0,424
