Monica Wright,5.3,Above Average (Q2)
Sharon Manning,5.2,Above Average (Q2)
Katie Mattera,5.1,Above Average (Q2)
Barbara Turner,5.1,Above Average (Q2)
Loree Moore,5.1,Above Average (Q2)
Chelsea Newton,5.1,Above Average (Q2)
Lynetta Kizer,5.0,Above Average (Q2)
Tonya Edwards,5.0,Above Average (Q2)
Toni Foster,4.9,Above Average (Q2)
Jordin Canada,4.9,Above Average (Q2)
Deanna Jackson,4.9,Above Average (Q2)
Tamara Moore,4.8,Above Average (Q2)
Rachel Banham,4.7,Above Average (Q2)
Mery Andrade,4.7,Above Average (Q2)
Jurgita Streimikyte,4.6,Above Average (Q2)
Sophie Cunningham,4.6,Above Average (Q2)
Diamond DeShields,4.5,Above Average (Q2)
Brooke Wyckoff,4.5,Above Average (Q2)
Sandrine Gruda,4.5,Above Average (Q2)
Clarisse Machanguana,4.5,Above Average (Q2)
Pollyanna Johns Kimbrough,4.5,Above Average (Q2)
Tammy Jackson,4.4,Above Average (Q2)
Bria Hartley,4.4,Above Average (Q2)
Kelsey Bone,4.4,Above Average (Q2)
Gabby Williams,4.3,Above Average (Q2)
Vanessa Nygaard,4.3,Above Average (Q2)
Astou Ndiaye-Diatta,4.3,Above Average (Q2)
La'Keshia Frett,4.2,Above Average (Q2)
Amber Holt,4.2,Above Average (Q2)
Amanda Lassiter,4.1,Above Average (Q2)
Amanda Zahui B.,4.1,Above Average (Q2)
Jennifer Rizzotti,4.1,Above Average (Q2)
Sonja Henning,4.0,Above Average (Q2)
Kayla Alexander,4.0,Above Average (Q2)
Marina Mabrey,4.0,Above Average (Q2)
Matee Ajavon,4.0,Above Average (Q2)
Kelly Mazzante,3.9,Above Average (Q2)
Crystal Dangerfield,3.9,Above Average (Q2)
Jeanette Pohlen-Mavunga,3.9,Above Average (Q2)
Umeki Webb,3.9,Above Average (Q2)
Alicia Thompson,3.8,Above Average (Q2)
Kara Wolters,3.8,Above Average (Q2)
Monica Lamb,3.8,Above Average (Q2)
Allison Hightower,3.8,Above Average (Q2)
Imani McGee-Stafford,3.7,Above Average (Q2)
Astou Ndour,3.7,Above Average (Q2)
Ruthy Hebard,3.7,Above Average (Q2)
Bridget Carleton,3.7,Above Average (Q2)
Betnijah Laney,3.6,Above Average (Q2)
Krystal Thomas,3.6,Above Average (Q2)
Crystal Kelly,3.6,Above Average (Q2)
Edna Campbell,3.6,Above Average (Q2)
Niele Ivey,3.5,Above Average (Q2)
Tiffany Mitchell,3.5,Above Average (Q2)
Theresa Plaisance,3.4,Above Average (Q2)
Kia Nurse,3.4,Above Average (Q2)
Brittany Boyd,3.3,Above Average (Q2)
