94,22,2020,Los Angeles Sparks,Leonie Fiebich,Germany,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
95,23,2020,Connecticut Sun,Kaila Charles,NULL,Maryland,3,52,2.1,0.097,16.7,4.7,2.7,1.0
96,24,2020,Washington Mystics,Jaylyn Agnew,NULL,Creighton,1,12,-0.2,-0.093,5.9,1.3,0.4,0.3
97,25,2020,Atlanta Dream,Mikayla Pivec,NULL,Oregon State,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
98,26,2020,New York Liberty,Erica Ogwumike,NULL,Rice University,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
99,27,2020,Atlanta Dream,Kobi Thornton,NULL,Clemson,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
100,28,2020,Indiana Fever,Kamiah Smalls,NULL,James Madison University,2,10,0.2,0.059,13.4,3.1,1.3,2.0
101,29,2020,Phoenix Mercury,Stella Johnson,NULL,Rider University,2,15,0.5,0.154,8.7,3.9,1.0,0.9
102,30,2020,Chicago Sky,Japreece Dean,NULL,UCLA,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
103,31,2020,Seattle Storm,Haley Gorecki,NULL,Duke,1,3,-0.1,-0.375,2.0,0.0,0.7,0.0
104,32,2020,Chicago Sky,Kiah Gillespie,NULL,Florida State,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
105,33,2020,Las Vegas Aces,Lauren Manis,NULL,Holy Cross,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
106,34,2020,Los Angeles Sparks,Tynice Martin,NULL,West Virginia,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
107,35,2020,Connecticut Sun,Juicy Landrum,NULL,Baylor,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL
108,36,2020,Washington Mystics,Sug Sutton,NULL,Texas,1,12,0.0,-0.012,9.4,2.8,0.7,1.0
109,1,2019,Las Vegas Aces,Jackie Young,NULL,Notre Dame,4,122,12.4,0.142,28.5,11.5,4.0,3.7
110,2,2019,New York Liberty,AD Durr,NULL,Louisville,2,43,0.9,0.043,19.7,8.1,1.4,1.4
111,3,2019,Indiana Fever,Teaira McCowan,NULL,Mississippi State,4,121,10.9,0.163,22.2,10.8,8.3,0.7
112,4,2019,Chicago Sky,Katie Lou Samuelson,NULL,UConn,4,101,2.8,0.053,20.8,6.5,2.6,1.4
113,5,2019,Dallas Wings,Arike Ogunbowale,NULL,Notre Dame,4,117,10.4,0.111,32.1,19.8,2.9,3.4
114,6,2019,Minnesota Lynx,Napheesa Collier,NULL,UConn,4,89,12.7,0.170,33.4,14.6,7.0,2.9
115,7,2019,Los Angeles Sparks,Kalani Brown,NULL,Baylor,3,39,1.2,0.109,11.4,4.5,2.8,0.4
116,8,2019,Phoenix Mercury,Alanna Smith,NULL,Stanford,4,64,0.0,0.001,10.4,3.0,2.4,0.7
